projects,category,stars,commits,LOC
https://github.com/jclouds/legacy-jclouds,cloud application,477,8048,367595
https://github.com/spring-projects/spring-data-rest,web framework,678,1253,24633
https://github.com/mdeverdelhan/ta4j-origins,analyzer,350,463,12523
https://github.com/apache/camel,messaging,3204,44616,1331103
https://github.com/SpigotMC/BungeeCord,server,849,1669,16967
https://github.com/debezium/debezium,database,3071,2852,410814
https://github.com/rometools/rome,framework,614,669,54365
https://github.com/netty/netty,networking,23314,9831,259429
https://github.com/square/moshi,json,6057,811,17687
https://github.com/guoguibing/librec,utility,2712,1077,26653
https://github.com/atomix/atomix,distributed system,1873,4265,68516
https://github.com/spring-guides/tut-spring-boot-oauth2,web framework,643,101,1786
https://github.com/geotools/geotools,geospatial,925,8273,1766639
https://github.com/eclipse/jetty.project,server,2848,20670,521884
https://github.com/alibaba/dubbo,networking,32048,4286,106582
https://github.com/melin/super-diamond,configuration,530,252,19334
https://github.com/yammer/tenacity,rest frameworks,207,839,7113
https://github.com/forge/roaster,language,428,690,22093
https://github.com/protostuff/protostuff,code generators,1397,1545,73877
https://github.com/square/retrofit,http client,35474,1827,22513
https://github.com/ios-driver/ios-driver,GUI,372,1796,272924
https://github.com/davidmoten/geo,application,309,363,2262
https://github.com/qalingo/qalingo-engine,engine,296,1866,116605
https://github.com/ninjaframework/ninja,web framework,1869,2093,44387
https://github.com/spring-projects/spring-batch-admin,web framework,260,469,20036
https://github.com/eclipse/eclipse-collections,performance,1383,1177,320794
https://github.com/brendano/ark-tweet-nlp,natural language propocssing,564,197,22303
https://github.com/deeplearning4j/nd4j,machine learning,1652,7021,236441
https://github.com/crawljax/crawljax,web application,423,1501,48699
https://github.com/spotify/heroic,database,770,1247,59833
https://github.com/ocpsoft/prettytime,utility,1086,327,15322
https://github.com/citiususc/hipster,utility,289,746,8650
https://github.com/RUB-NDS/TLS-Attacker,networking,538,4447,80787
https://github.com/QSFT/Doradus,rest frameworks,201,840,85219
https://github.com/psi-probe/psi-probe,monitoring,1072,2944,42480
https://github.com/google/guice,framework,9214,1752,148473
https://github.com/spotify/helios,distributed system,2032,2448,51507
https://github.com/kohsuke/args4j,cli,675,618,5898
https://github.com/forcedotcom/phoenix,database,563,1982,100795
https://github.com/swagger-api/swagger-core,rest frameworks,6316,3704,50083
https://github.com/RobotiumTech/robotium,testing framework,2638,1197,6738
https://github.com/hcoles/pitest,jvm and jdk,1015,1718,53594
https://github.com/lwjglgamedev/lwjglbook,demo,368,169,37704
https://github.com/spring-cloud/spring-cloud-gateway,web framework,2360,1524,17043
https://github.com/tomighty/tomighty,application,855,359,6080
https://github.com/apache/hbase,distributed system,3458,17555,795144
https://github.com/RichardWarburton/lambda-behave,testing framework,238,195,4423
https://github.com/brianfrankcooper/YCSB,performance,3014,1276,27861
https://github.com/github/maven-plugins,build,545,231,2325
https://github.com/apache/drill,orm,1375,3853,636717
https://github.com/baidu/Jprotobuf-rpc-socket,networking,415,439,13653
https://github.com/Baeldung/spring-security-oauth,web framework,1257,342,25793
https://github.com/apache/struts,web framework,1003,5866,208006
https://github.com/rapidoid/rapidoid,rest frameworks,1505,5200,70247
https://github.com/Dreampie/Resty,rest frameworks,1265,639,19612
https://github.com/tdunning/t-digest,data structures,1167,335,45012
https://github.com/fusesource/jansi,cli,701,339,5651
https://github.com/RaiMan/SikuliX-2014,application,826,2397,147717
https://github.com/stormpath/stormpath-sdk-java,rest frameworks,220,3793,111741
https://github.com/zhegexiaohuozi/SeimiCrawler,crawler,1594,257,4668
https://github.com/Activiti/Activiti,platform,6525,10621,207508
https://github.com/GoClipse/goclipse,application,825,2925,56487
https://github.com/linux-china/spring-boot-dubbo,networking,286,241,1455
https://github.com/zeromq/jzmq,language,559,654,8452
https://github.com/write2munish/Akka-Essentials,demo,693,179,8695
https://github.com/apache/parquet-mr,data structures,1065,2175,89239
https://github.com/prometheus/jmx_exporter,monitoring,1386,247,2455
https://github.com/apache/mahout,machine learning,1817,4394,161174
https://github.com/awaitility/awaitility,asynchronous,2063,676,6805
https://github.com/spring-projects/spring-data-mongodb,database,1132,2845,119914
https://github.com/sockeqwe/fragmentargs,code generators,1075,182,3204
https://github.com/zhangxd1989/springboot-dubbox,distributed system,894,12,7099
https://github.com/apache/logging-log4j2,logging,935,10984,180286
https://github.com/eugenp/REST-With-Spring,rest frameworks,669,517,9590
https://github.com/rhuss/jolokia,monitoring,674,1622,60993
https://github.com/jwpttcg66/NettyGameServer,server,990,812,38181
https://github.com/togglz/togglz,miscellaneous,583,758,23299
https://github.com/crashub/crash,jvm and jdk,880,1988,53432
https://github.com/itext/itextpdf,pdf,1139,4410,435254
https://github.com/protegeproject/protege,utility,546,4005,85638
https://github.com/OpenGamma/Strata,monitoring,509,4134,439070
https://github.com/ivan-vasilev/neuralnetworks,machine learning,1222,351,110016
https://github.com/jsimone/webapp-runner,web application,302,498,1984
https://github.com/Atmosphere/atmosphere,networking,3426,5905,38736
https://github.com/jawi/ols,analyzer,285,998,54432
https://github.com/snazy/ohc,performance,479,408,17187
https://github.com/kite-sdk/kite,demo,367,2497,296633
https://github.com/zhangkaitao/spring4-showcase,miscellaneous,383,46,7517
https://github.com/YahooArchive/oozie,scheduler,378,364,87662
https://github.com/shopizer-ecommerce/shopizer,application,1574,532,182095
https://github.com/lukas-krecan/JsonUnit,json,419,775,8994
https://github.com/prometheus/client_java,jvm and jdk,1202,418,10548
https://github.com/shunfei/indexr,database,422,130,47002
https://github.com/facebook/jcommon,utility,667,350,34423
https://github.com/DigitalPebble/storm-crawler,crawler,630,1505,17036
https://github.com/j-easy/easy-batch,framework,424,1877,21602
https://github.com/jamesdbloom/mockserver,networking,2596,2727,84366
https://github.com/relayrides/pushy,messaging,1167,1478,7804
https://github.com/HubSpot/Singularity,scheduler,773,11472,118448
https://github.com/HotswapProjects/HotswapAgent,jvm and jdk,1473,731,68137
https://github.com/yasserg/crawler4j,crawler,3888,513,7288
https://github.com/cybergarage/cybergarage-upnp,networking,276,243,24301
https://github.com/apache/tika,natural language propocssing,979,4724,136742
https://github.com/prestodb/presto,database,10415,17267,663368
https://github.com/xujeff/tianti,application,1018,193,140666
https://github.com/eclipse/jgit,utility,854,7818,207162
https://github.com/Libresonic/libresonic,application,745,526,56516
https://github.com/stuxuhai/HData,database,558,86,6466
https://github.com/b3log/latke,framework,519,818,28765
